,AGR,AT,AUX,CC,CD,CDT,COM,DT,H,HAM,IN,JJ,JJT,MOD,NN,NNP,NNT,POS,PRP,QW,RB,RBR,REL,VB,WDT,yyCLN,yyCM,yyDASH,yyDOT,yyELPS,yyEXCL,yyLRB,yyQM,yyQUOT,yyRRB,yySCLN
JJ,0,0,0,0,1,0,0,0,0,0,1,473,0,0,170,1,3,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
JJT,0,0,0,0,0,0,0,0,0,0,0,1,6,1,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MOD,1,0,0,1,0,0,0,0,0,0,9,3,0,104,1,7,0,0,4,0,45,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NN,0,0,0,0,0,0,0,12,0,0,6,39,0,3,1881,4,105,0,0,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
NNP,0,0,0,0,0,1,0,0,1,0,5,2,0,0,245,284,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
NNT,0,0,0,0,0,0,0,0,0,0,1,3,1,0,221,1,429,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP,6,0,0,0,1,0,0,0,0,0,0,10,0,0,0,1,0,0,346,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,0,0,0,0,0,0,0,0,0,0,8,7,0,34,18,3,7,0,7,0,248,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REL,0,0,0,0,0,0,7,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,0,0,20,0,0,0,0,0,0,0,0,10,0,2,254,4,3,0,0,0,2,1,0,772,0,0,0,0,0,0,0,0,0,0,0,0
WDT,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
yyCLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
yyCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0
yyDASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
yyDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0
yyELPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
yyEXCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
yyLRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
yyQM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
yyQUOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0
yyRRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
yySCLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
